outcome,variable,coef,se,p
safety,victim,-0.19388259820627818,0.004093845033876329,0.0
safety,female,-0.38973078291832586,0.0028857253189151634,0.0
safety,age_clean,-0.0022180907337769895,8.381981218729205e-05,0.0
safety,eduyrs_clean,0.025275993540328223,0.00038898560876902423,0.0
safety,domicil_clean,0.09057004047470096,0.0012628227770715241,0.0
happiness,victim,-0.17979039462649204,0.009848276184296791,0.0
happiness,female,0.043101058289080285,0.007185664734337725,1.995160037182586e-09
happiness,age_clean,-0.003984225947859521,0.0002024710168798905,0.0
happiness,eduyrs_clean,0.03815961082470565,0.0009815504673861344,0.0
happiness,domicil_clean,0.05164340099550177,0.0031383817856814175,0.0
life_sat,victim,-0.2509491261617436,0.011287063459506808,0.0
life_sat,female,0.013542381987065255,0.008174935912484372,0.097605738893074
life_sat,age_clean,-0.002200761296732412,0.0002263277985948345,0.0
life_sat,eduyrs_clean,0.0448667430912868,0.0011032327158668079,0.0
life_sat,domicil_clean,0.061992087480825825,0.0035579691601533435,0.0
