round,year,outcome,coef,se
1,2002,safety,-0.17467129143674498,0.012235644854728564
1,2002,happiness,-0.14961389015666082,0.029451211978633905
1,2002,life_sat,-0.24522627111544004,0.03465061395148676
2,2004,safety,-0.19339172191107057,0.012668403658770604
2,2004,happiness,-0.1486929308359608,0.030659953281247366
2,2004,life_sat,-0.2693377934072876,0.03547811701826475
3,2006,safety,-0.16160979437778966,0.012670291241743325
3,2006,happiness,-0.1521780530173622,0.02975581318123332
3,2006,life_sat,-0.1666543832367786,0.033839123623506
4,2008,safety,-0.18577413432487733,0.012888134487038419
4,2008,happiness,-0.14774791029195278,0.02999612609038209
4,2008,life_sat,-0.18158333507861357,0.03548009543614487
5,2010,safety,-0.1761535936010925,0.013679095560264339
5,2010,happiness,-0.17018602697549934,0.03355229803440765
5,2010,life_sat,-0.26352707957444377,0.037822541885361355
6,2012,safety,-0.22143699559499241,0.012779655092807912
6,2012,happiness,-0.21557659218797554,0.031117443043092458
6,2012,life_sat,-0.27504273629945253,0.035249499921005185
7,2014,safety,-0.17997794655563615,0.012734316717977479
7,2014,happiness,-0.12448056171770894,0.02999200816807824
7,2014,life_sat,-0.16866681695617647,0.03531669617849741
8,2016,safety,-0.18643026272783736,0.013760667119027797
8,2016,happiness,-0.23226345030488282,0.03240341544971649
8,2016,life_sat,-0.30707994079960166,0.03656252763809045
9,2018,safety,-0.1898137678655969,0.014647208851798536
9,2018,happiness,-0.2336052865288174,0.03495864936781921
9,2018,life_sat,-0.2905042057548499,0.03854795246403698
10,2020,safety,-0.24478647257945685,0.01560073782769645
10,2020,happiness,-0.24976395824219821,0.04043874394893362
10,2020,life_sat,-0.31037024620657405,0.044895301343244855
11,2023,safety,-0.18356354716218615,0.017441979146400315
11,2023,happiness,-0.2886900854840375,0.04068786714694695
11,2023,life_sat,-0.36220186509261154,0.0469391560057638
